filename,this_pipeline_ocr_text
cell_r34_c0.png,16
cell_r34_c1.png,PIPE ASSY MOD. VALVE TO SBA-11 RH
cell_r34_c2.png,
cell_r34_c3.png,51744
cell_r35_c0.png,15
cell_r35_c1.png,PIPE ASSY RELAY DEL TO SBA 12 LH
cell_r35_c2.png,
cell_r35_c3.png,51744
cell_r36_c0.png,4
cell_r36_c1.png,PIPE ASSY TEE-CONN TO TCV-41
cell_r36_c2.png,
cell_r36_c3.png,517442000
cell_r37_c0.png,13
cell_r37_c1.png,PIPE ASSY NRV-2 TO T-CONN
cell_r37_c2.png,
cell_r37_c3.png,51744
cell_r38_c0.png,12
cell_r38_c1.png,PIPE ASSY APU-21 TO AIR TANK REAR
cell_r38_c2.png,
cell_r38_c3.png,51754
cell_r39_c0.png,11
cell_r39_c1.png,PIPE ASSY AIR TANK REAR TO T-CONN
cell_r39_c2.png,
cell_r39_c3.png,51754
cell_r40_c0.png,10
cell_r40_c1.png,PIPE ASSY APU-22 TO AIR TANK FRONT
cell_r40_c2.png,
cell_r40_c3.png,5175430
cell_r41_c0.png,9
cell_r41_c1.png,PIPE ASSY T-CONN TO SOLENOID VALVE
cell_r41_c2.png,
cell_r41_c3.png,51754
cell_r42_c0.png,8
cell_r42_c1.png,PIPE ASSY PRV TO T-CONN
cell_r42_c2.png,
cell_r42_c3.png,51754500
cell_r43_c0.png,7
cell_r43_c1.png,PIPE ASSY T-CONN TO TCV
cell_r43_c2.png,
cell_r43_c3.png,5175420
cell_r44_c0.png,6
cell_r44_c1.png,PIPE ASSY APU-23 TO PRV
cell_r44_c2.png,
cell_r44_c3.png,51744
cell_r45_c0.png,5
cell_r45_c1.png,PIPE ASSY TCV 12 TO RED COUPLING COIL
cell_r45_c2.png,
cell_r45_c3.png,51744
cell_r46_c0.png,4
cell_r46_c1.png,PIPE ASSY TCV 22 TO YELLOW COUPLING COIL
cell_r46_c2.png,
cell_r46_c3.png,51744
cell_r47_c0.png,3
cell_r47_c1.png,PIPE ASSY T-CONN TO FRONT LH-BC
cell_r47_c2.png,
cell_r47_c3.png,51744
cell_r48_c0.png,2
cell_r48_c1.png,PIPE ASSY T-CONN TO FRONT RH-BC
cell_r48_c2.png,
cell_r48_c3.png,517440
cell_r49_c0.png,一
cell_r49_c1.png,PIPE ASSY FRONT MOD. VALVE TO T-CONN
cell_r49_c2.png,
cell_r49_c3.png,5174
cell_r50_c0.png,SN
cell_r50_c1.png,PART DESCRIPTION
cell_r50_c2.png,QTY
cell_r50_c3.png,TML PART NO
cell_r50_c4.png,PIPE CUT LENGTH(mm)
cell_r50_c5.png,BUNCH 8 LOOSE
cell_r50_c6.png,COLOUR CODING
cell_r50_c7.png,REFERANCE DRG NO.
